ID;hatching;1st molt;2nd molt;3rd molt;4th molt;eonymph;eonymph2;adulthatch;hatchingweightmg;treatmentweight;masschange;s;larvaltreat;treatment;died;purpose;pupaestageduration;larvalstageduration;totallifespan;adultlifespan;velocity;distancemoved;immobileduration;highlymobileduration;drybodymass;lipidmasstotal;lipidmgmgbodymass;carbsmasstotal;carbsmgmgbodymass
55;02.10.2023;4;6;8;13;18;;05.11.2023;8.20;5.80;-2.40;male;larval;larval;;B,M;18;16;;;0.098191;353.432;2842.84;117.52;1.994;0.965;0.4842;0.035;0.0174
56;02.10.2023;4;7;10;13;17;;04.11.2023;11.70;9.10;-2.60;male;larval;larval;;B,M;18;15;;;0.0527426;189.789;3259.88;30.68;3.623;3.921;1.0824;0.067;0.0184
57;03.10.2023;5;6;9;12;16;;02.11.2023;17.00;18.50;1.50;female;larval;larval;25.11.2023;B,L;17;13;53;23;0.274808;988.867;2342.08;355.68;;;;;
58;03.10.2023;5;6;8;10;13;17;03.11.2023;19.00;20.10;1.10;female;larval;larval;;B,M;21;14;;;0.105497;379.84;3183.44;120.64;6.528;2.129;0.3261;0.482;0.0739
59;02.10.2023;4;6;10;13;16;;04.11.2023;18.90;18.00;-0.90;female;larval;larval;22.11.2023;B,L;19;14;51;18;0.391492;1408.74;2008.76;651.04;;;;;
60;02.10.2023;3;5;7;11;16;;03.11.2023;9.50;8.50;-1.00;male;larval;larval;21.11.2023;B,L;18;14;50;18;0.223674;804.868;2359.76;373.88;;;;;
61;03.10.2023;5;7;8;10;14;;02.11.2023;7.90;7.90;0.00;male;no;adult;15.11.2023;B,L;19;11;43;13;0.13749;494.744;2702.44;57.2;;;;;
62;03.10.2023;5;6;8;10;14;;31.10.2023;19.80;16.70;-3.10;female;no;adult;;B,M;17;11;;;0.338656;1218.62;1766.96;345.8;5.291;1.469;0.2776;0.113;0.0214
63;03.10.2023;6;9;11;13;17;;04.11.2023;13.10;9.80;-3.30;male;no;adult;;B,M;18;14;;;0.314118;1130.97;2690.48;566.28;2.847;1.280;0.4496;0.047;0.0166
64;04.10.2023;6;8;11;15;19;;02.11.2023;10.90;9.30;-1.60;male;no;adult;19.11.2023;B,L;14;15;46;17;0.1541;554.192;2892.24;257.4;;;;;
65;02.10.2023;3;6;8;11;14;;01.11.2023;11.70;9.00;-2.70;male;no;adult;;B,M;18;12;;;0.0107487;38.6782;3592.68;0.52;3.105;1.343;0.4325;0.089;0.0287
66;02.10.2023;4;6;8;11;14;;01.11.2023;19.30;18.00;-1.30;female;no;adult;18.11.2023;L;18;12;47;17;;;;;;;;;
67;02.10.2023;3;6;8;11;15;;02.11.2023;9.90;7.20;-2.70;male;no;adult;;B,M;18;13;;;0.29155;1048.51;2129.92;565.76;2.243;0.431;0.1921;0.039;0.0175
68;03.10.2023;5;7;9;11;14;;31.10.2023;21.80;18.20;-3.60;female;no;adult;;B,M;17;11;;;0.230911;830.911;2257.84;135.72;6.069;1.657;0.2731;0.157;0.0258
69;02.10.2023;5;7;9;11;15;;02.11.2023;16.50;14.50;-2.00;female;no;adult;16.11.2023;B,L;18;13;45;14;0.620774;2233.79;960.96;1162.72;;;;;
70;03.10.2023;4;7;9;12;16;;03.11.2023;11.30;9.40;-1.90;male;no;adult;;B,M;18;13;;;0.344411;1239.33;2073.24;659.88;2.705;0.714;0.2639;0.045;0.0168
71;02.10.2023;4;6;8;11;14;;01.11.2023;18.70;16.80;-1.90;female;no;adult;19.11.2023;L;18;12;48;18;;;;;;;;;
72;02.10.2023;3;5;8;10;15;;02.11.2023;8.90;7.10;-1.80;male;no;adult;22.11.2023;B,L;18;13;51;20;0.149007;536.188;2752.88;219.96;;;;;
73;02.10.2023;4;6;8;10;14;;01.11.2023;10.00;8.40;-1.60;male;no;adult;19.11.2023;L;18;12;48;18;;;;;;;;;
74;03.10.2023;4;7;9;12;16;;03.11.2023;9.40;7.40;-2.00;male;no;adult;;B,M;18;13;;;0.179808;647.209;2622.36;271.44;2.131;2.160;1.0138;0.037;0.0175
75;02.10.2023;3;6;8;11;14;;01.11.2023;10.70;8.20;-2.50;male;no;adult;;B,M;18;12;;;0.0616684;221.908;3223.48;20.28;2.518;1.154;0.4583;0.044;0.0177
76;03.10.2023;6;9;11;13;17;;04.11.2023;9.80;8.90;-0.90;male;no;adult;;B,M;18;14;;;0.0992325;357.181;3039.4;171.08;2.694;0.682;0.2533;0.069;0.0258
77;04.10.2023;6;8;11;13;17;;04.11.2023;13.30;10.50;-2.80;male;no;adult;22.11.2023;B,L;18;13;49;18;0.216742;779.925;2350.4;246.48;;;;;
78;02.10.2023;4;7;8;10;14;;02.11.2023;11.80;10.00;-1.80;male;no;adult;;B,M;19;12;;;0.100269;360.807;3101.8;125.84;3.272;0.651;0.1989;0.099;0.0302
79;03.10.2023;5;7;9;12;15;;02.11.2023;13.60;11.50;-2.10;female;no;adult;;B,M;18;12;;;0.26268;945.229;2293.2;371.28;3.894;1.154;0.2964;0.107;0.0275
80;02.10.2023;4;6;8;10;14;;01.11.2023;21.80;17.30;-4.50;female;no;adult;23.11.2023;L;18;12;52;22;;;;;;;;;
81;04.10.2023;7;9;11;14;17;;05.11.2023;10.20;8.50;-1.70;male;no;adult;;B,M;19;13;;;0.191367;689.014;2452.84;256.36;2.654;0.840;0.3164;0.051;0.0191
